DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
7/24/15	25436638	Malinowski JR	12/1/14	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25436638	Genetic variants associated with serum thyroid stimulating hormone (TSH) levels in European Americans and African Americans from the eMERGE Network.	Serum thyroid-stimulating hormone levels	"4,501 European ancestry individuals, 351 African American individuals"	NA		9	133263862	ABO					NA	NA	rs657152-T	rs657152	0	657152		1	0.38	4.00E-06	5.397940009	(EA)	0.05	[0.03-0.07] unit increase	Illumina [up to 905285]	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST002707	Genome-wide genotyping array
10/8/20	32769997	Zhou W	8/7/20	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32769997	GWAS of thyroid stimulating hormone highlights pleiotropic effects and inverse association with thyroid cancer.	Thyroid stimulating hormone levels	"119,715 European ancestry individuals"	NA		X	3612081	intergenic					NA	NA	chr23:3612081-G	chr23:3612081	0			1	0.3823	1.00E-10	10		0.0458	[0.032-0.06] SD increase	Illumina [22400000] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST010653	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		14	83518232						NA	NA	chr14:83518232-A	chr14:83518232	0			1	0.9986	3.00E-23	22.52287875		0.9753	[0.78-1.17] unit decrease	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		14	83602438						NA	NA	chr14:83602438-A	chr14:83602438	0			1	0.9983	3.00E-20	19.52287875		0.8333	[0.66-1.01] unit decrease	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		14	93564801						NA	NA	chr14:93564801-CAA	chr14:93564801	0			1	0.8021	6.00E-50	49.22184875		0.0659	[0.057-0.075] unit decrease	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		16	79711785						NA	NA	rs562609617-G	rs562609617	0	11376510		1	0.6842	7.00E-83	82.15490196		0.0868	[0.078-0.096] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		3	185505520						NA	NA	chr3:185505520-CA	chr3:185505520	0			1	0.685	2.00E-23	22.69897		0.044	[0.035-0.053] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		3	185514352						NA	NA	chr3:185514352-CAAAA	chr3:185514352	0			1	0.686	5.00E-23	22.30103		0.0435	[0.035-0.052] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		3	185802311						NA	NA	rs144346724-G	rs144346724	0	11269661		1	0.6868	2.00E-38	37.69897		0.0455	[0.039-0.052] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		5	76478581						NA	NA	chr5:76478581-CT	chr5:76478581	0			1	0.8322	4.00E-83	82.39794001		0.112	[0.1-0.12] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"		6	166046567						NA	NA	chr6:166046567-CA	chr6:166046567	0			1	0.4941	3.00E-93	92.52287875		0.084	[0.076-0.092] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1p13.3	1	107770636		VAV3			ENSG00000134215	NA	NA	rs6583048-T	rs6583048	0	6583048	missense_variant	0	0.7895	2.00E-21	20.69897		0.0313	[0.025-0.038] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/13/14	24722205	Kwak SH	4/17/14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24722205	A genome-wide association study on thyroid function and anti-thyroid peroxidase antibodies in Koreans.	Plasma thyroid-stimulating hormone levels	"2,789 Korean ancestry individuals"	829 Korean ancestry individuals	1p13.3	1	107814198	VAV3	VAV3			ENSG00000134215	NA	NA	rs12126655-G	rs12126655	0	12126655	intron_variant	0	0.35	2.00E-08	7.698970004		0.138	[0.089-0.187] uIU/L increase	Affymetrix [1418709] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST002417	Genome-wide genotyping array
10/8/20	32769997	Zhou W	8/7/20	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32769997	GWAS of thyroid stimulating hormone highlights pleiotropic effects and inverse association with thyroid cancer.	Thyroid stimulating hormone levels	"119,715 European ancestry individuals"	NA	1p13.3	1	107814769	VAV3	VAV3			ENSG00000134215	NA	NA	rs17020122-T	rs17020122	0	17020122	intron_variant	0	0.090871404	2.00E-43	42.69897		0.1124	[0.096-0.128] SD increase	Illumina [22400000] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST010653	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1p13.3	1	107817167		VAV3			ENSG00000134215	NA	NA	rs78499451-T	rs78499451	0	78499451	intron_variant	0	0.9123	1.00E-124	124		0.1096	[0.1-0.12] unit decrease	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1q21.3	1	150985657		ANXA9			ENSG00000143412	NA	NA	rs11204752-T	rs11204752	0	11204752	intron_variant	0	0.4951	2.00E-10	9.698970004		0.0173	[0.012-0.023] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1p36.13	1	16032190		CLCNKA			ENSG00000186510	NA	NA	rs6669935-C	rs6669935	0	6669935	splice_polypyrimidine_tract_variant	0	0.4323	1.00E-14	14		0.0197	[0.015-0.025] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
10/8/20	32769997	Zhou W	8/7/20	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32769997	GWAS of thyroid stimulating hormone highlights pleiotropic effects and inverse association with thyroid cancer.	Thyroid stimulating hormone levels	"119,715 European ancestry individuals"	NA	1p36.13	1	19420609	CAPZB	CAPZB			ENSG00000077549	NA	NA	rs12027702-T	rs12027702	0	12027702	intron_variant	0	0.3272286	4.00E-39	38.39794001		0.0677	[0.058-0.078] SD increase	Illumina [22400000] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST010653	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1p36.13	1	19442749		CAPZB			ENSG00000077549	NA	NA	rs10458381-T	rs10458381	0	10458381	intron_variant	0	0.344	2.00E-135	134.69897		0.0655	[0.06-0.071] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1p36.13	1	19448221		CAPZB			ENSG00000077549	NA	NA	rs12409301-A	rs12409301	0	12409301	intron_variant	0	0.2713	3.00E-78	77.52287875		0.053	[0.048-0.058] unit decrease	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/19/14	24852370	Zhan M	5/22/14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24852370	Genome-wide association study identifies a novel susceptibility gene for serum TSH levels in Chinese populations.	Serum thyroid-stimulating hormone levels	"1,346 Han Chinese ancestry individuals"	"3,235 She Chinese ancestry individuals"	1p36.13	1	19501286	"MINOS1, NBL1, CAPZB"	MICOS10			ENSG00000173436	NA	NA	rs6683419-G	rs6683419	0	6683419	intron_variant	0	0.265	3.00E-07	6.522878745		0.027	[NR] unit increase	Illumina [8503852] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST002458	Genome-wide genotyping array
10/8/20	32769997	Zhou W	8/7/20	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32769997	GWAS of thyroid stimulating hormone highlights pleiotropic effects and inverse association with thyroid cancer.	Thyroid stimulating hormone levels	"119,715 European ancestry individuals"	NA	1p36.13	1	19512621	"CAPZB, LOC105378614"	MICOS10			ENSG00000173436	NA	NA	rs12138950-C	rs12138950	0	12138950	intron_variant	0	0.153685269	2.00E-72	71.69897		0.1159	[0.1-0.13] SD decrease	Illumina [22400000] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST010653	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1p36.13	1	19514680		MICOS10			ENSG00000173436	NA	NA	rs10799824-A	rs10799824	0	10799824	intron_variant	0	0.1563	8.00E-271	270.09691		0.1235	[0.12-0.13] unit decrease	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
7/17/19	25743335	Taylor PN	3/6/15	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/25743335	Whole-genome sequence-based analysis of thyroid function.	Thyroid stimulating hormone levels	"2,287 European ancestry whole-genome sequenced individuals, 14,048 European ancestry individuals"	NA	1p36.13	1	19518785	CAPZB	MICOS10			ENSG00000173436	NA	NA	rs12410532-T	rs12410532	0	12410532	intron_variant	0	0.164	9.00E-09	8.045757491		0.09	[0.059-0.121] unit decrease	Illumina [at least 9558836] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST008165	"Genome-wide genotyping array, Genome-wide sequencing"
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1p36.13	1	19639545		"NBL1, MICOS10-NBL1"			"ENSG00000158747, ENSG00000270136"	NA	NA	rs60206411-T	rs60206411	0	60206411	intron_variant	0	0.2386	1.00E-22	22		0.0297	[0.024-0.036] unit decrease	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
11/7/23	37872160	Williams AT	10/23/23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/37872160	"Genome-wide association study of thyroid-stimulating hormone highlights new genes, pathways and associations with thyroid disease."	Thyroid stimulating hormone levels	"247,107 European ancestry individuals"	"63,326 European ancestry individuals, 33,171 South Asian ancestry individuals"	1q32.1	1	198932568		MIR181A1HG			ENSG00000229989	NA	NA	rs1275169-T	rs1275169	0	1275169	intron_variant	0	0.3641	7.00E-12	11.15490196		0.0193	[0.014-0.025] unit increase	"Affymetrix, Illumina [57524162] (imputed)"	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST90296333	Genome-wide genotyping array
4/30/19	30843173	Popovic M	3/7/19	J Endocrinol Invest	www.ncbi.nlm.nih.gov/pubmed/30843173	Genome-wide meta-analysis identifies novel loci associated with free triiodothyronine and thyroid-stimulating hormone.	Thyroid stimulating hormone levels	"626 Croatian individuals, 509 Korculan (founder/genetic isolate) individuals, 596 Vis (founder/genetic isolate) individuals"	NA	1q32.1	1	204022145	SOX13	CBX1P3 - LINC00303	ENSG00000237379	ENSG00000176754		66365	10302	rs7519922-T	rs7519922	0	7519922	intergenic_variant	1	0.11	6.00E-08	7.22184875		0.3	[0.18-0.42] mIU/L decrease	Illumina [7411206] (imputed)	N	thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004748	GCST007681	Genome-wide genotyping array
