DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	1p36.13	1	19441320		CAPZB			ENSG00000077549	NA	NA	rs12407089-C	rs12407089	0	12407089	intron_variant	0	NR	8E-11	10.0969100130081		0.1648	[0.12-0.21] unit decrease	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	1q41	1	218508629		LINC02869			ENSG00000228208	NA	NA	rs796395-A	rs796395	0	796395	intron_variant	0	NR	1E-11	11		0.1728	[0.12-0.22] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2023-09-28	37601966	Walters RG	2023-07-20	Cell Genom	www.ncbi.nlm.nih.gov/pubmed/37601966	Genotyping and population characteristics of the China Kadoorie Biobank.	ICD10 E04: Other nontoxic goiter	433 Chinese ancestry cases, 75,497 Chinese ancestry controls	NA	1q43	1	240176512		FMN2			ENSG00000155816	NA	NA	rs7542728-C	rs7542728	0	7542728	intron_variant	0	0.02528	9E-9	8.04575749056067		8.81	[4.2-18.48]	Affymetrix [8402303] (imputed)	N	nontoxic goiter	http://purl.obolibrary.org/obo/MONDO_0001658	GCST90246050	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	1p31.3	1	61172849		NFIA			ENSG00000162599	NA	NA	rs334721-C	rs334721	0	334721	intron_variant	0	NR	8E-9	8.09691001300806		0.5473	[0.36-0.73] unit decrease	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	12q14.3	12	65650504		PCNPP3 - RPSAP52	ENSG00000213344	ENSG00000293176		4042	107516	rs12318900-A	rs12318900	0	12318900	intron_variant	1	NR	6E-11	10.2218487496164		0.2939	[0.21-0.38] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	14q13.2	14	36063370		ILF2P2 - LINC00609	ENSG00000257720	ENSG00000257585		8057	7057	rs368187-C	rs368187	0	368187	non_coding_transcript_exon_variant	1	NR	2E-17	16.698970004336		0.2031	[0.16-0.25] unit decrease	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	14q32.12	14	93103433		ITPK1			ENSG00000100605	NA	NA	rs8013274-T	rs8013274	0	8013274	intron_variant	0	NR	1E-10	10		0.207	[0.14-0.27] unit decrease	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	15q21.2	15	49414220		FAM227B			ENSG00000166262	NA	NA	rs73398264-C	rs73398264	0	73398264	intron_variant	0	NR	1E-51	51		0.4662	[0.41-0.53] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	16q12.1	16	51138766		SALL1			ENSG00000103449	NA	NA	rs11645288-A	rs11645288	0	11645288	synonymous_variant	0	NR	3E-9	8.52287874528034		0.1955	[0.13-0.26] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	16q23.2	16	79720079		MAFTRR, LINC01229			ENSG00000261390, ENSG00000260876	NA	NA	rs57652769-T	rs57652769	0	57652769	intron_variant	0	NR	1E-13	13		0.1917	[0.14-0.24] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2018-10-05	30099483	Hwangbo Y	2018-08-06	J Clin Endocrinol Metab	www.ncbi.nlm.nih.gov/pubmed/30099483	Genome-wide Association Study Reveals Distinct Genetic Susceptibility of Thyroid Nodules from Thyroid Cancer.	Thyroid nodules	811 Korean ancestry cases, 691 Korean ancestry controls	1,981 Korean ancestry cases, 3,100 Korean ancestry controls	18p11.31	18	5472022	EPB41L3	EPB41L3			ENSG00000082397	NA	NA	rs9952940-T	rs9952940	0	9952940	intron_variant	0	0.76	5E-6	5.30102999566398		1.23	[1.14-1.37]	Affymetrix [3996558] (imputed)	N	thyroid nodule	http://www.ebi.ac.uk/efo/EFO_1001436	GCST006387	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	19p13.2	19	7223837		INSR			ENSG00000171105	NA	NA	rs4804416-G	rs4804416	0	4804416	intron_variant	0	NR	2E-15	14.698970004336		0.1907	[0.14-0.24] unit decrease	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	20p11.21	20	22651940		LNCNEF - LINC01747	ENSG00000237396	ENSG00000230400		44423	16540	rs10534088-G	rs10534088	0	10534088	intergenic_variant	1	NR	2E-12	11.698970004336		0.2023	[0.15-0.26] unit decrease	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	20p12.3	20	6702004		CASC20 - LINC01713	ENSG00000229876	ENSG00000228482		173545	29076	rs6133344-T	rs6133344	0	6133344	intergenic_variant	1	NR	6E-10	9.22184874961636		0.1534	[0.1-0.2] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	3q29	3	194201059		RN7SL215P - LINC02036	ENSG00000242201	ENSG00000225742		55088	1333	rs12493688-G	rs12493688	0	12493688	regulatory_region_variant	1	NR	3E-9	8.52287874528034		0.169	[0.11-0.22] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	6p21.1	6	43938518		SCIRT			ENSG00000237686	NA	NA	rs66760320-T	rs66760320	0	66760320	intron_variant	0	NR	1E-8	8		0.163	[0.11-0.22] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	8q24.22	8	132837410		PHF20L1			ENSG00000129292	NA	NA	rs75143612-C	rs75143612	0	75143612	intron_variant	0	NR	8E-10	9.09691001300806		0.5803	[0.4-0.77] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
2018-10-05	30099483	Hwangbo Y	2018-08-06	J Clin Endocrinol Metab	www.ncbi.nlm.nih.gov/pubmed/30099483	Genome-wide Association Study Reveals Distinct Genetic Susceptibility of Thyroid Nodules from Thyroid Cancer.	Thyroid nodules	811 Korean ancestry cases, 691 Korean ancestry controls	1,981 Korean ancestry cases, 3,100 Korean ancestry controls	9q21.12	9	70652691	TRPM3	TRPM3			ENSG00000083067	NA	NA	rs4745021-T	rs4745021	0	4745021	intron_variant	0	0.23	2E-8	7.69897000433602		1.28	[1.18-1.40]	Affymetrix [3996558] (imputed)	N	thyroid nodule	http://www.ebi.ac.uk/efo/EFO_1001436	GCST006387	Genome-wide genotyping array
2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Goiter	2,711 European ancestry cases, 456,942 European ancestry controls, 1,127 East Asian ancestry cases, 172,656 East Asian ancestry controls	NA	9q22.33	9	97772921		PTCSC2			ENSG00000236130	NA	NA	rs7030256-G	rs7030256	0	7030256	intron_variant	0	NR	5E-37	36.301029995664		0.3824	[0.32-0.44] unit increase	Affymetrix, Illumina [25841617] (imputed)	N	goiter	http://www.ebi.ac.uk/efo/EFO_0004283	GCST90018853	Genome-wide genotyping array
