DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
8/13/21	33527407	Truong T	2/2/21	Int J Cancer	www.ncbi.nlm.nih.gov/pubmed/33527407	Multiethnic genome-wide association study of differentiated thyroid cancer in the EPITHYR consortium.	Differentiated thyroid cancer	"1,554 European ancestry cases, 1,973 European ancestry controls, 301 Oceanian ancestry cases, 348 Oceanian ancestry controls"	NA	1p32.3	1	50431670	NR	DMRTA2 - FAF1	ENSG00000142700	ENSG00000185104		8227	5358	rs1278519-C	rs1278519	0	1278519	intergenic_variant	1	0.52	4.00E-06	5.397940009	NA	NA		Illumina [6479975] (imputed)	N	differentiated thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_1002017	GCST012195	Genome-wide genotyping array
8/13/21	33527407	Truong T	2/2/21	Int J Cancer	www.ncbi.nlm.nih.gov/pubmed/33527407	Multiethnic genome-wide association study of differentiated thyroid cancer in the EPITHYR consortium.	Differentiated thyroid cancer	"1,554 European ancestry cases, 1,973 European ancestry controls"	"2,229 European ancestry cases, 2,059 European ancestry controls"	1p31.3	1	61142801	NR	NFIA			ENSG00000162599	NA	NA	rs334729-G	rs334729	0	334729	intron_variant	0	0.95	8.00E-07	6.096910013	NA	0.7	[0.60-0.80]	Illumina [9673063] (imputed)	N	differentiated thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_1002017	GCST012197	Genome-wide genotyping array
9/28/17	28703219	Son HY	7/13/17	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28703219	Genome-wide association and expression quantitative trait loci studies identify multiple susceptibility loci for thyroid cancer.	Differentiated thyroid cancer	"470 Korean ancestry cases, 8,279 Korean ancestry controls"	"615 Korean ancestry cases, 605 Korean ancestry controls"	1p13.3	1	107816883	VAV3	VAV3			ENSG00000134215	NA	NA	rs4915076-T	rs4915076	0	4915076	intron_variant	0	0.7	8.00E-08	7.096910013	NA	1.33	[NR]	"Affymetrix, Illumina [3593389] (imputed)"	N	differentiated thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_1002017	GCST004798	Genome-wide genotyping array
9/19/17	28703219	Son HY	7/13/17	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28703219	Genome-wide association and expression quantitative trait loci studies identify multiple susceptibility loci for thyroid cancer.	Papillary thyroid cancer	"410 Korean ancestry cases, 8,279 Korean ancestry controls"	"587 Korean ancestry cases, 605 Korean ancestry controls"	1p13.3	1	107816883	VAV3	VAV3			ENSG00000134215	NA	NA	rs4915076-T	rs4915076	0	4915076	intron_variant	0	0.7	7.00E-08	7.15490196	NA	1.34	[NR]	"Affymetrix, Illumina [3593389] (imputed)"	N	papillary thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000641	GCST004753	Genome-wide genotyping array
8/13/21	33527407	Truong T	2/2/21	Int J Cancer	www.ncbi.nlm.nih.gov/pubmed/33527407	Multiethnic genome-wide association study of differentiated thyroid cancer in the EPITHYR consortium.	Differentiated thyroid cancer	"1,554 European ancestry cases, 1,973 European ancestry controls, 301 Oceanian ancestry cases, 348 Oceanian ancestry controls"	NA	1p13.3	1	107832667	NR	VAV3			ENSG00000134215	NA	NA	rs17020149-A	rs17020149	0	17020149	intron_variant	0	0.08	3.00E-06	5.522878745	NA	NA		Illumina [6479975] (imputed)	N	differentiated thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_1002017	GCST012195	Genome-wide genotyping array
11/13/20	32887889	Rashkin SR	9/4/20	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Thyroid cancer	"762 European ancestry cases, 410,350 European ancestry controls"	NA	1q41	1	218449752		TGFB2 - LINC02869	ENSG00000092969	ENSG00000228208		5133	9513	rs6697759-T	rs6697759	0	6697759	intergenic_variant	1	0.439535	4.00E-07	6.397940009	NA	1.2991	NR	Affymetrix [7846216] (imputed)	N	thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0002892	GCST90011813	Genome-wide genotyping array
4/20/24	36777996	Zhou W	10/12/22	Cell Genom	https://pubmed.ncbi.nlm.nih.gov/36777996/	Global Biobank Meta-analysis Initiative: Powering genetic discovery across human disease	Thyroid cancer	6699_1613655			1	218508629		MIR548F3				NA	NA	rs796395	rs796395	NA	NA		NA		1.06E-13	NA	NA	0.1090108							
4/20/24	36777996	Zhou W	10/12/22	Cell Genom	https://pubmed.ncbi.nlm.nih.gov/36777996/	Global Biobank Meta-analysis Initiative: Powering genetic discovery across human disease	Thyroid cancer	6699_1613655			1	233276358		PCNX2				NA	NA	rs12130559	rs12130559	NA	NA		NA		1.82E-10	NA	NA	-0.152649601							
6/6/17	28195142	Gudmundsson J	2/14/17	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28195142	A genome-wide association study yields five novel thyroid cancer risk loci.	Thyroid cancer	"2,637 European ancestry cases, 364 non-array typed, familial imputed Icelandic ancestry cases, 134,811 European ancestry controls, 152,739 non-array typed, familial imputed Icelandic ancestry controls."	NA	1q42.2	1	233276815	PCNXL2	PCNX2			ENSG00000135749	NA	NA	rs12129938-A	rs12129938	0	12129938	intron_variant	0	0.795	4.00E-11	10.39794001	NA	1.32	1.20-1.43	Illumina [7100000] (imputed)	N	thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0002892	GCST004144	Genome-wide genotyping array
9/28/17	28703219	Son HY	7/13/17	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28703219	Genome-wide association and expression quantitative trait loci studies identify multiple susceptibility loci for thyroid cancer.	Differentiated thyroid cancer	"470 Korean ancestry cases, 8,279 Korean ancestry controls"	"615 Korean ancestry cases, 605 Korean ancestry controls"	1q42.2	1	233280792	PCNXL2	PCNX2			ENSG00000135749	NA	NA	rs4649295-T	rs4649295	0	4649295	intron_variant	0	0.82	6.00E-08	7.22184875	NA	1.43	[NR]	"Affymetrix, Illumina [3593389] (imputed)"	N	differentiated thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_1002017	GCST004798	Genome-wide genotyping array
